"Zone Netherlands",Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0
NL,Fr,86,Export,"€134,70","€190,29","€223,10","€309,09","€345,17","€378,76","€442,46","€469,54","€528,70","€573,75","€618,80","€748,31","€877,83","€899,73","€982,86","€1.071,68","€1.155,30","€1.252,46","€1.297,98"
NL,Fr,87,Export,"€139,46","€198,52","€232,74","€309,09","€345,17","€378,76","€442,46","€469,54","€528,70","€573,75","€618,80","€722,27","€825,74","€847,65","€923,36","€1.012,19","€1.088,36","€1.170,66","€1.216,18"
NL,Fr,88,Export,"€146,43","€208,10","€243,98","€309,75","€337,41","€370,52","€423,35","€449,67","€507,71","€547,28","€586,85","€592,79","€609,53","€624,86","€640,76","€699,83","€753,70","€806,25","€836,89"
NL,Fr,89,Export,"€133,44","€187,56","€219,87","€277,85","€299,90","€330,66","€374,32","€398,64","€467,44","€511,82","€556,21","€597,96","€639,71","€654,17","€715,13","€781,64","€842,95","€910,36","€941,02"
NL,Fr,90,Export,"€147,65","€209,47","€245,59","€289,81","€323,66","€355,91","€387,22","€412,06","€482,20","€524,30","€566,42","€577,02","€587,62","€609,53","€663,07","€722,15","€776,01","€835,99","€866,64"
NL,Fr,91,Export,"€139,76","€184,99","€210,28","€252,71","€292,39","€326,32","€349,81","€375,08","€433,34","€457,74","€482,14","€497,92","€513,70","€539,78","€575,08","€618,14","€655,08","€698,13","€719,98"
NL,Fr,92,Export,"€154,53","€184,99","€205,11","€252,71","€278,63","€311,40","€340,77","€365,58","€419,78","€443,30","€466,82","€490,26","€513,70","€539,78","€575,08","€618,14","€655,08","€698,13","€719,98"
NL,Fr,93,Export,"€139,76","€184,99","€205,11","€252,71","€278,63","€311,40","€340,77","€365,58","€419,78","€443,30","€466,82","€490,26","€513,70","€539,78","€575,08","€618,14","€655,08","€698,13","€719,98"
NL,Fr,94,Export,"€131,75","€184,99","€205,11","€252,71","€278,63","€311,40","€340,77","€365,58","€419,78","€443,30","€466,82","€490,26","€513,70","€539,78","€575,08","€618,14","€655,08","€698,13","€719,98"
NL,Fr,95,Export,"€142,54","€184,99","€205,11","€252,71","€278,63","€311,40","€340,77","€365,58","€419,78","€443,30","€466,82","€490,26","€513,70","€539,78","€575,08","€618,14","€655,08","€698,13","€719,98"
