Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6,
NL,DK,31,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,32,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,33,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,34,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,35,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,36,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,40,Import,104.30,135.93,157.03,239.06,269.53,330.46,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,41,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,42,Import,111.33,145.32,171.09,255.47,288.28,353.90,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,43,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,44,Import,111.33,145.32,171.09,255.47,288.28,353.90,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,45,Import,111.33,145.32,171.09,255.47,288.28,353.90,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,46,Import,108.99,140.63,165.23,250.78,281.25,345.70,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,47,Import,111.33,145.32,171.09,255.47,288.28,353.90,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,48,Import,111.33,145.32,171.09,255.47,288.28,353.90,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,49,Import,111.33,145.32,171.09,255.47,288.28,353.90,398.43,424.21,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,50,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,51,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,52,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,53,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,54,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,55,Import,120.70,158.20,187.50,277.72,314.06,386.72,434.75,441.79,465.23,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,56,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,57,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,58,Import,124.22,164.06,196.88,289.45,325.78,400.77,451.17,458.19,472.27,485.15,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
NL,DK,59,Import,127.74,169.92,201.56,295.30,332.81,416.01,467.58,474.60,491.02,499.21,512.10,526.17,539.06,566.01,580.07,607.03,619.92,
